Time,LDR1,LDR2,LDR3,LDR4,Horizontal_Angle(Azimuth),Vertical_Angle(Elevation),Voltage,Current
03/01/2024 18:30,935,0,217,548,123,15,4.86,1.34
03/01/2024 19:00,670,1007,594,808,26,0,10.25,1.47
03/01/2024 19:30,763,899,961,303,21,81,5.57,0.29
03/01/2024 20:00,547,253,804,506,98,139,7.88,1.88
03/01/2024 20:30,229,68,785,299,105,170,7.64,0.99
03/01/2024 21:00,136,426,173,909,20,44,2.83,1.97
03/01/2024 21:30,476,513,467,673,75,45,10.69,0.87
03/01/2024 22:00,1022,682,149,390,94,44,6.20,1.21
03/01/2024 22:30,996,615,774,68,64,167,11.49,1.39
03/01/2024 23:00,151,556,181,197,81,104,3.00,1.32
03/01/2024 23:30,1016,109,268,950,171,23,10.07,0.28
04/01/2024 0:00,558,261,530,287,22,131,9.30,0.09
04/01/2024 0:30,357,153,476,139,104,111,1.41,1.01
04/01/2024 1:00,296,989,195,672,177,169,9.90,1.51
04/01/2024 1:30,157,1022,971,501,88,155,8.94,1.92
04/01/2024 2:00,895,320,104,614,177,167,2.98,0.58
04/01/2024 2:30,823,385,812,36,171,55,0.37,1.91
04/01/2024 3:00,637,337,555,713,29,111,2.70,0.66
04/01/2024 3:30,228,448,381,226,158,114,5.89,1.14
04/01/2024 4:00,68,716,409,474,172,120,9.36,1.68
04/01/2024 4:30,236,19,212,986,71,102,6.30,1.83
04/01/2024 5:00,585,180,385,733,18,110,3.00,0.78
04/01/2024 5:30,722,817,636,239,106,131,0.18,0.62
04/01/2024 6:00,596,779,307,601,31,130,2.09,0.39
04/01/2024 6:30,226,613,719,390,140,24,0.04,1.28
04/01/2024 7:00,521,878,374,552,30,28,8.15,0.50
04/01/2024 7:30,416,582,973,908,139,63,11.15,0.91
04/01/2024 8:00,800,676,287,520,100,106,11.79,0.95
04/01/2024 8:30,342,834,714,804,100,96,9.82,0.83
04/01/2024 9:00,852,954,506,333,94,117,9.01,0.22
04/01/2024 9:30,745,584,813,964,145,145,7.19,1.70
04/01/2024 10:00,688,265,849,526,155,0,5.20,0.53
04/01/2024 10:30,898,564,477,279,64,57,7.68,1.66
04/01/2024 11:00,249,216,656,417,85,61,10.84,1.81
04/01/2024 11:30,37,718,901,112,75,12,11.35,1.57
04/01/2024 12:00,568,656,562,518,74,6,0.49,1.21
04/01/2024 12:30,190,981,329,822,159,75,9.04,1.71
04/01/2024 13:00,344,413,495,823,42,46,3.56,0.98
04/01/2024 13:30,328,454,428,74,171,24,9.42,0.14
04/01/2024 14:00,947,376,194,324,124,88,3.69,1.07
04/01/2024 14:30,821,870,835,111,3,11,7.60,1.16
04/01/2024 15:00,205,654,224,524,115,131,9.84,0.15
04/01/2024 15:30,857,95,420,631,177,59,0.56,0.56
04/01/2024 16:00,72,957,275,948,102,48,11.85,1.56
04/01/2024 16:30,254,311,828,17,102,148,8.84,1.47
04/01/2024 17:00,863,67,686,281,136,43,5.33,0.34
04/01/2024 17:30,51,913,477,980,81,78,2.09,0.19
04/01/2024 18:00,610,77,915,355,43,118,10.50,0.91
04/01/2024 18:30,784,901,185,66,150,127,10.21,1.87
04/01/2024 19:00,163,279,104,805,166,168,4.89,1.78
04/01/2024 19:30,252,9,490,593,146,83,10.43,1.83
04/01/2024 20:00,753,730,668,783,171,93,9.46,1.91
04/01/2024 20:30,480,299,860,431,53,116,9.51,1.95
04/01/2024 21:00,109,448,469,864,74,68,8.49,1.10
04/01/2024 21:30,840,182,193,44,48,6,1.20,0.67
04/01/2024 22:00,226,603,861,712,47,110,2.63,0.44
04/01/2024 22:30,602,642,647,731,33,121,8.38,1.17
04/01/2024 23:00,72,610,333,466,180,53,10.71,0.12
04/01/2024 23:30,540,995,462,419,105,84,7.79,0.30
05/01/2024 0:00,432,691,940,799,155,107,9.76,1.21
05/01/2024 0:30,290,487,419,485,53,15,3.83,1.32
05/01/2024 1:00,14,987,126,195,56,104,3.67,1.72
05/01/2024 1:30,801,110,342,330,57,125,5.54,1.68
05/01/2024 2:00,231,326,321,1003,45,11,10.33,1.20
05/01/2024 2:30,746,40,748,699,78,50,3.09,0.09
05/01/2024 3:00,339,26,719,45,148,168,4.92,0.53
05/01/2024 3:30,21,907,239,486,89,142,5.81,0.98
05/01/2024 4:00,899,281,288,664,49,20,0.30,1.08
05/01/2024 4:30,330,13,504,474,96,132,2.39,0.15
05/01/2024 5:00,901,917,755,963,131,145,0.33,0.84
05/01/2024 5:30,422,549,753,100,92,167,3.76,0.39
05/01/2024 6:00,62,975,548,775,144,46,2.93,1.20
05/01/2024 6:30,306,117,93,509,44,165,6.00,0.72
05/01/2024 7:00,190,818,99,556,65,12,1.63,0.78
05/01/2024 7:30,435,172,545,870,85,24,6.76,0.81
05/01/2024 8:00,202,83,396,385,129,69,9.04,1.61
05/01/2024 8:30,744,944,593,519,73,51,6.95,1.98
05/01/2024 9:00,449,104,463,47,175,149,2.97,1.11
05/01/2024 9:30,882,695,966,277,85,15,0.32,0.55
05/01/2024 10:00,74,943,981,449,158,103,8.85,1.01
05/01/2024 10:30,44,580,958,566,105,84,7.38,1.36
05/01/2024 11:00,583,982,12,372,21,53,6.32,1.25
05/01/2024 11:30,742,516,582,231,177,54,10.61,1.43
05/01/2024 12:00,95,791,757,779,110,178,3.47,1.84
05/01/2024 12:30,874,138,282,726,105,158,2.44,0.87
05/01/2024 13:00,531,101,97,469,158,41,10.00,0.91
05/01/2024 13:30,474,382,14,822,24,106,8.63,1.83
05/01/2024 14:00,374,647,29,283,28,90,2.40,0.43
05/01/2024 14:30,301,120,280,855,56,103,1.16,0.96
05/01/2024 15:00,791,277,975,692,15,148,4.11,0.40
05/01/2024 15:30,919,83,228,909,55,31,10.02,0.46
05/01/2024 16:00,855,703,956,784,22,56,2.60,1.12
05/01/2024 16:30,383,434,578,500,40,12,5.05,0.81
05/01/2024 17:00,678,34,927,680,162,164,9.18,0.60
05/01/2024 17:30,418,404,462,97,23,34,10.22,0.21
05/01/2024 18:00,225,998,1014,775,111,31,5.89,1.24
05/01/2024 18:30,989,376,245,811,116,143,3.25,0.58
05/01/2024 19:00,588,559,832,721,130,73,4.96,0.28
05/01/2024 19:30,763,491,975,190,90,59,4.91,1.53
05/01/2024 20:00,168,823,553,123,65,84,9.04,1.14
05/01/2024 20:30,82,196,273,568,108,21,1.83,0.90
05/01/2024 21:00,84,835,142,768,93,68,6.73,0.57
05/01/2024 21:30,398,687,426,657,18,152,3.78,0.89
05/01/2024 22:00,916,354,824,736,158,31,6.65,0.52
05/01/2024 22:30,769,179,493,962,69,53,11.42,0.94
05/01/2024 23:00,72,280,983,172,100,142,1.08,0.85
05/01/2024 23:30,946,972,936,433,139,143,8.09,1.36
06/01/2024 0:00,658,186,1023,494,7,5,10.56,1.54
06/01/2024 0:30,1013,975,161,1014,158,39,5.06,0.99
06/01/2024 1:00,78,123,554,435,91,74,4.53,1.44
06/01/2024 1:30,341,560,214,904,67,152,5.81,0.54
06/01/2024 2:00,183,865,896,658,113,50,7.17,0.99
06/01/2024 2:30,252,59,998,150,114,148,4.79,0.48
06/01/2024 3:00,690,923,898,955,15,30,11.58,0.90
06/01/2024 3:30,564,868,552,943,112,56,5.72,1.72
06/01/2024 4:00,617,275,292,346,178,49,4.32,0.10
06/01/2024 4:30,750,90,362,139,171,80,11.66,1.52
06/01/2024 5:00,691,603,52,433,142,140,1.25,0.06
06/01/2024 5:30,149,179,567,661,95,71,3.36,1.08
06/01/2024 6:00,741,40,117,873,138,39,11.64,0.77
06/01/2024 6:30,419,901,462,442,177,172,2.37,0.08
06/01/2024 7:00,1000,232,851,3,130,67,5.64,1.39
06/01/2024 7:30,560,858,170,700,70,122,10.45,0.96
06/01/2024 8:00,297,727,487,791,173,61,10.59,0.83
06/01/2024 8:30,146,291,691,665,67,156,1.66,1.65
06/01/2024 9:00,420,611,881,95,132,98,9.04,1.12
06/01/2024 9:30,441,716,795,196,151,164,10.31,0.41
06/01/2024 10:00,1020,411,936,154,6,161,10.81,1.62
06/01/2024 10:30,141,197,271,832,49,79,2.07,0.41
06/01/2024 11:00,472,668,65,286,51,123,11.17,0.14
06/01/2024 11:30,34,847,422,904,167,57,6.14,0.71
06/01/2024 12:00,375,395,227,729,146,53,3.25,0.50
06/01/2024 12:30,38,279,718,662,144,145,2.66,1.34
06/01/2024 13:00,816,1014,399,249,171,37,4.96,1.46
06/01/2024 13:30,210,945,639,753,38,162,11.14,1.23
06/01/2024 14:00,524,652,517,83,71,123,0.44,1.48
06/01/2024 14:30,288,961,1003,983,68,54,4.90,0.95
06/01/2024 15:00,941,901,204,360,161,78,6.56,1.01
06/01/2024 15:30,314,540,502,549,120,113,3.98,1.87
06/01/2024 16:00,242,705,10,557,128,82,10.17,0.83
06/01/2024 16:30,807,531,841,1012,107,90,3.95,0.28
06/01/2024 17:00,178,998,228,153,17,7,3.56,1.49
06/01/2024 17:30,837,80,418,951,5,19,9.08,0.86
06/01/2024 18:00,43,680,664,476,114,72,7.74,1.98
06/01/2024 18:30,792,159,482,135,92,160,3.52,1.80
06/01/2024 19:00,770,553,569,257,142,148,10.30,0.74
06/01/2024 19:30,1001,298,799,85,178,176,2.38,1.30
06/01/2024 20:00,411,750,781,919,173,1,5.51,1.44
06/01/2024 20:30,537,287,152,776,23,5,8.65,0.28
06/01/2024 21:00,340,756,359,176,105,130,8.25,0.71
06/01/2024 21:30,414,408,307,478,68,65,10.70,1.13
06/01/2024 22:00,787,133,677,114,64,17,4.87,0.57
06/01/2024 22:30,218,560,710,149,73,157,10.79,0.25
06/01/2024 23:00,428,945,393,281,167,125,1.86,0.23
06/01/2024 23:30,377,126,568,1008,161,45,7.20,1.88
07/01/2024 0:00,339,759,261,199,180,41,7.17,0.70
07/01/2024 0:30,361,966,403,127,22,152,8.29,1.83
07/01/2024 1:00,135,78,999,506,150,63,7.32,1.01
07/01/2024 1:30,99,237,405,179,49,169,3.76,0.13
07/01/2024 2:00,140,755,27,62,105,142,3.67,0.26
07/01/2024 2:30,511,516,385,922,168,125,1.92,1.84
07/01/2024 3:00,420,425,399,121,104,87,9.67,0.91
07/01/2024 3:30,469,1001,385,43,62,34,0.47,1.57
07/01/2024 4:00,923,225,681,793,75,163,6.16,1.78
07/01/2024 4:30,1001,766,556,889,136,76,3.29,1.35
07/01/2024 5:00,321,53,681,498,172,15,3.74,1.23
07/01/2024 5:30,150,362,347,520,177,12,0.33,1.54
07/01/2024 6:00,486,716,921,866,116,49,8.29,1.37
07/01/2024 6:30,908,383,696,520,112,162,6.38,1.87
07/01/2024 7:00,673,689,118,771,94,81,11.21,1.17
07/01/2024 7:30,631,980,946,213,171,180,4.58,0.02
07/01/2024 8:00,123,752,994,614,138,109,9.84,1.61
07/01/2024 8:30,840,679,579,543,26,171,4.75,0.72
07/01/2024 9:00,167,879,885,280,90,83,2.63,0.20
07/01/2024 9:30,136,520,324,672,32,76,1.07,0.35
07/01/2024 10:00,241,270,103,454,173,164,10.15,1.89
07/01/2024 10:30,836,79,836,541,101,159,2.62,0.18
07/01/2024 11:00,83,496,448,906,114,59,2.72,1.75
07/01/2024 11:30,969,145,294,224,109,106,7.88,1.95
07/01/2024 12:00,883,835,338,518,109,154,4.68,0.25
07/01/2024 12:30,274,14,307,948,168,109,10.07,0.61
07/01/2024 13:00,805,436,177,567,54,149,4.04,0.71
07/01/2024 13:30,756,520,324,853,114,60,8.75,0.89
07/01/2024 14:00,625,213,688,342,40,66,1.97,0.83
07/01/2024 14:30,952,110,611,990,149,82,4.86,0.43
07/01/2024 15:00,96,416,692,679,53,96,2.08,1.29
07/01/2024 15:30,654,847,874,268,138,152,5.58,0.98
07/01/2024 16:00,321,113,613,207,80,82,10.48,0.84
07/01/2024 16:30,259,500,169,908,128,114,9.99,1.30
07/01/2024 17:00,895,921,781,364,167,50,6.18,0.98
07/01/2024 17:30,249,242,631,621,45,37,2.65,0.13
07/01/2024 18:00,1003,948,303,303,121,177,10.01,0.15
07/01/2024 18:30,587,755,457,661,56,19,8.37,0.60
07/01/2024 19:00,882,38,511,648,59,75,6.45,0.50
07/01/2024 19:30,450,92,988,388,39,20,3.63,1.25
07/01/2024 20:00,1003,18,100,963,120,35,5.90,0.40
07/01/2024 20:30,689,393,815,338,35,30,7.60,1.41
07/01/2024 21:00,593,366,747,953,144,135,5.50,0.75
07/01/2024 21:30,274,273,313,676,96,119,11.09,0.92
07/01/2024 22:00,161,930,88,280,91,1,1.97,0.77
07/01/2024 22:30,761,352,136,960,108,138,7.96,1.08
07/01/2024 23:00,690,417,99,147,119,4,0.75,0.10
07/01/2024 23:30,181,271,20,614,78,63,0.80,0.03
08/01/2024 0:00,979,814,805,586,1,62,11.13,1.42
08/01/2024 0:30,117,769,245,861,10,178,5.66,0.29
08/01/2024 1:00,827,555,823,619,36,97,7.57,1.56
08/01/2024 1:30,886,191,215,501,168,172,11.85,0.24
08/01/2024 2:00,864,1001,213,274,120,12,9.36,0.29
08/01/2024 2:30,976,736,772,916,107,120,7.64,0.36
08/01/2024 3:00,1021,655,1013,523,77,85,11.63,1.42
08/01/2024 3:30,1000,415,556,424,110,96,0.16,1.10
08/01/2024 4:00,840,602,7,434,96,11,6.05,1.58
08/01/2024 4:30,938,156,797,491,27,63,2.10,0.06
08/01/2024 5:00,369,529,885,583,124,146,3.37,0.67
08/01/2024 5:30,88,223,287,222,6,124,11.90,1.55
08/01/2024 6:00,641,886,349,231,87,111,8.57,0.74
08/01/2024 6:30,12,291,943,1001,72,27,5.66,0.07
08/01/2024 7:00,111,841,195,301,36,101,5.23,0.70
08/01/2024 7:30,967,494,308,304,170,120,0.28,0.89
08/01/2024 8:00,75,988,489,631,173,93,0.08,1.68
08/01/2024 8:30,30,971,565,379,115,157,5.05,1.51
08/01/2024 9:00,683,707,58,791,117,28,4.34,1.77
08/01/2024 9:30,313,272,368,318,50,168,1.43,0.39
08/01/2024 10:00,978,40,663,110,1,120,7.08,0.15
08/01/2024 10:30,542,657,311,320,135,89,6.53,0.17
08/01/2024 11:00,17,472,633,775,44,152,11.90,1.30
08/01/2024 11:30,940,331,99,527,25,120,4.72,1.87
08/01/2024 12:00,1004,856,26,399,69,62,4.19,0.08
08/01/2024 12:30,468,279,448,512,116,138,0.27,1.92
08/01/2024 13:00,448,371,439,557,70,174,10.60,0.96
08/01/2024 13:30,990,842,491,1009,145,174,7.95,1.62
08/01/2024 14:00,14,702,265,42,133,77,6.14,1.56
08/01/2024 14:30,332,407,132,786,63,160,0.40,1.74
08/01/2024 15:00,204,774,421,178,42,46,3.38,1.99
08/01/2024 15:30,892,642,340,244,63,173,10.30,1.40
08/01/2024 16:00,407,591,742,484,117,85,8.47,1.51
08/01/2024 16:30,650,572,962,939,101,94,8.49,0.63
08/01/2024 17:00,299,389,110,123,113,23,10.72,0.60
08/01/2024 17:30,263,591,16,54,142,78,10.88,1.37
08/01/2024 18:00,1022,603,845,588,87,138,5.31,0.07
08/01/2024 18:30,463,796,324,137,97,150,3.39,1.86
08/01/2024 19:00,198,254,771,612,140,31,1.50,0.71
08/01/2024 19:30,939,986,29,995,118,99,11.68,1.76
08/01/2024 20:00,470,634,787,84,36,34,8.30,0.31
08/01/2024 20:30,802,988,304,698,99,27,5.44,1.30
08/01/2024 21:00,698,357,699,504,66,142,0.66,1.44
08/01/2024 21:30,670,191,350,738,66,162,8.48,0.67
08/01/2024 22:00,100,383,91,196,158,10,1.69,1.50
08/01/2024 22:30,986,462,326,404,85,117,4.54,0.36
08/01/2024 23:00,209,261,367,665,25,111,11.94,1.18
08/01/2024 23:30,465,282,276,813,38,37,7.56,1.83
09/01/2024 0:00,375,900,44,461,117,142,8.80,1.90
09/01/2024 0:30,2,57,818,814,27,35,11.73,1.91
09/01/2024 1:00,780,1014,790,714,93,97,6.80,0.08
09/01/2024 1:30,351,876,246,711,139,135,3.00,1.58
09/01/2024 2:00,710,693,101,482,151,89,9.08,1.57
09/01/2024 2:30,473,724,144,980,16,47,8.23,1.51
09/01/2024 3:00,341,471,48,865,57,130,5.30,1.45
09/01/2024 3:30,845,113,282,341,156,41,1.08,0.50
09/01/2024 4:00,228,179,570,709,13,91,10.78,0.02
09/01/2024 4:30,700,262,353,675,65,123,4.72,1.16
09/01/2024 5:00,368,274,106,448,176,91,7.97,1.36
09/01/2024 5:30,1017,688,1020,56,112,138,6.16,1.14
09/01/2024 6:00,965,555,75,810,40,173,10.71,1.96
09/01/2024 6:30,950,3,857,928,174,108,0.75,1.38
09/01/2024 7:00,711,995,909,80,48,79,1.54,1.88
09/01/2024 7:30,183,805,678,46,127,161,7.04,0.21
09/01/2024 8:00,24,450,293,207,94,123,10.32,1.73
09/01/2024 8:30,557,83,666,528,134,29,4.66,0.02
09/01/2024 9:00,815,373,856,115,93,68,1.74,0.83
09/01/2024 9:30,392,119,968,320,128,93,5.82,1.39
09/01/2024 10:00,682,927,342,130,10,19,2.32,1.06
09/01/2024 10:30,781,825,962,64,56,57,11.70,0.01
09/01/2024 11:00,337,320,714,895,15,115,2.91,1.50
09/01/2024 11:30,127,116,748,172,144,1,9.61,1.12
09/01/2024 12:00,170,884,909,105,101,151,10.27,0.96
09/01/2024 12:30,323,240,503,112,124,123,3.06,1.20
09/01/2024 13:00,796,398,896,181,139,70,10.92,0.10
09/01/2024 13:30,367,606,407,748,105,84,7.15,1.69
09/01/2024 14:00,168,806,786,455,109,32,3.30,0.05
09/01/2024 14:30,660,800,137,274,21,104,5.54,1.66
09/01/2024 15:00,388,149,465,14,82,5,4.21,0.25
09/01/2024 15:30,456,170,153,20,124,44,0.19,1.92
09/01/2024 16:00,431,147,160,536,8,72,0.82,1.25
09/01/2024 16:30,353,822,67,45,33,141,5.80,0.59
09/01/2024 17:00,724,342,719,401,21,147,4.96,1.19
09/01/2024 17:30,1014,489,559,922,111,54,10.22,0.76
09/01/2024 18:00,625,344,393,58,22,33,2.68,1.86
09/01/2024 18:30,728,212,384,875,40,10,5.14,0.33
09/01/2024 19:00,784,853,271,208,12,114,5.21,1.03
09/01/2024 19:30,208,106,804,284,49,105,9.02,1.85
09/01/2024 20:00,52,819,829,964,72,41,3.25,1.03
09/01/2024 20:30,990,200,507,641,77,152,0.04,1.55
09/01/2024 21:00,587,40,84,123,28,0,8.33,0.38
09/01/2024 21:30,983,778,67,751,78,26,7.59,0.48
09/01/2024 22:00,37,433,942,792,78,162,11.60,1.89
09/01/2024 22:30,801,719,79,308,53,12,5.28,1.03
09/01/2024 23:00,454,32,838,82,111,80,6.34,1.88
09/01/2024 23:30,167,295,398,801,53,87,1.64,0.85
10/01/2024 0:00,418,488,381,444,147,120,10.70,1.72
10/01/2024 0:30,665,695,804,72,141,82,2.09,1.69
10/01/2024 1:00,715,707,635,339,136,28,7.77,0.50
10/01/2024 1:30,58,852,222,375,30,102,2.90,0.07
10/01/2024 2:00,642,752,343,361,27,26,4.41,0.75
10/01/2024 2:30,920,265,698,803,107,56,7.00,0.26
10/01/2024 3:00,608,388,860,182,152,97,10.53,0.34
10/01/2024 3:30,536,977,396,879,165,13,7.06,1.50
10/01/2024 4:00,105,736,693,999,126,19,9.49,0.67
10/01/2024 4:30,45,380,489,272,172,45,4.90,0.35
10/01/2024 5:00,929,89,832,73,122,132,1.30,1.76
10/01/2024 5:30,930,567,687,991,35,65,11.47,1.37
10/01/2024 6:00,251,420,387,121,139,152,2.66,1.49
10/01/2024 6:30,995,321,763,595,79,13,2.04,0.48
10/01/2024 7:00,230,687,889,336,108,85,1.75,0.42
10/01/2024 7:30,990,784,10,840,64,177,9.13,1.29
10/01/2024 8:00,902,806,494,951,53,112,4.96,0.54
10/01/2024 8:30,527,250,769,242,111,133,0.96,1.44
10/01/2024 9:00,61,648,229,83,179,139,8.85,0.55
10/01/2024 9:30,227,839,182,70,168,38,3.78,1.36
10/01/2024 10:00,437,287,212,526,90,3,11.01,1.65
10/01/2024 10:30,263,37,220,599,14,125,7.52,0.63
10/01/2024 11:00,507,1013,244,312,59,177,8.96,1.38
10/01/2024 11:30,949,1015,549,946,150,53,3.20,1.57
10/01/2024 12:00,190,519,506,344,140,123,0.25,1.98
10/01/2024 12:30,740,499,833,345,167,70,10.47,1.20
10/01/2024 13:00,14,857,123,10,19,24,9.05,1.61
10/01/2024 13:30,25,213,252,1009,35,63,8.57,1.55
10/01/2024 14:00,221,560,816,220,113,149,10.47,0.74
10/01/2024 14:30,339,294,381,864,53,69,9.78,0.10
