Time,LDR1,LDR2,LDR3,LDR4,Horizontal_Angle,Vertical_Angle,Voltage,Current
02/01/2024 6:00,499,80,98,482,174,120,1.677903661,1.782136635
02/01/2024 6:30,259,587,200,938,121,135,3.374314334,0.983400867
02/01/2024 7:00,232,325,750,526,175,116,6.28266664,0.3301876
02/01/2024 7:30,1013,536,472,611,113,62,1.972693473,0.230217359
02/01/2024 8:00,221,243,71,366,80,134,4.515192368,1.980581343
02/01/2024 8:30,275,124,297,992,105,68,9.083715622,1.853893839
02/01/2024 9:00,21,381,588,485,17,148,2.54387375,0.073258488
02/01/2024 9:30,419,379,638,100,145,101,2.782019779,1.35587068
02/01/2024 10:00,778,105,849,757,106,14,7.194878146,1.418406649
02/01/2024 10:30,181,427,499,769,83,131,2.645234294,1.765457683
02/01/2024 11:00,656,733,814,77,120,57,9.525005833,1.485883537
02/01/2024 11:30,330,1018,795,882,119,157,9.268544218,0.219510599
02/01/2024 12:00,1001,463,542,787,172,79,1.633308182,1.282728274
02/01/2024 12:30,583,288,869,380,76,159,8.277235163,0.231569374
02/01/2024 13:00,493,191,668,29,91,59,5.725984508,1.611390785
02/01/2024 13:30,172,155,96,327,47,161,7.109067956,1.896175331
02/01/2024 14:00,181,234,264,900,110,41,9.029351993,0.450241386
02/01/2024 14:30,432,71,591,888,131,7,6.273722318,1.161325395
02/01/2024 15:00,932,582,845,235,166,47,9.705705531,0.21868602
02/01/2024 15:30,683,248,320,156,175,175,1.44349128,1.303352016
02/01/2024 16:00,284,801,15,448,120,62,8.284678399,0.847512276
02/01/2024 16:30,32,443,540,894,115,10,0.684625151,1.299337785
02/01/2024 17:00,618,378,880,136,117,16,3.4150832,0.525792371
02/01/2024 17:30,100,183,552,933,92,20,4.793642417,1.637750514
02/01/2024 18:00,362,54,98,615,92,157,2.532538792,0.489551815
02/01/2024 18:30,827,474,181,668,20,88,9.270762409,1.404432285
02/01/2024 19:00,228,499,895,316,57,69,11.16659755,0.300120288
02/01/2024 19:30,1000,37,352,796,87,104,6.792496932,1.171200166
02/01/2024 20:00,323,1021,631,427,12,76,2.141185402,0.278473359
02/01/2024 20:30,332,422,407,290,53,165,4.164517017,0.11086831
02/01/2024 21:00,120,290,106,355,0,168,5.051225535,1.638176049
02/01/2024 21:30,11,204,609,592,6,40,6.830532242,1.103901538
02/01/2024 22:00,790,308,316,284,13,104,11.48458214,1.202521417
02/01/2024 22:30,473,717,534,1017,144,180,3.296559318,0.72400177
02/01/2024 23:00,142,63,378,852,157,130,2.844370971,0.416413495
02/01/2024 23:30,693,186,1000,356,90,70,1.842892891,0.975995459
03/01/2024 0:00,718,471,196,210,70,0,1.740469346,1.20211469
03/01/2024 0:30,795,658,888,891,98,16,11.29597642,0.538142871
03/01/2024 1:00,623,409,430,501,147,109,0.362443178,1.743399215
03/01/2024 1:30,505,829,810,30,99,127,0.125335225,1.531231668
03/01/2024 2:00,477,174,242,826,168,10,3.553532081,1.361148522
03/01/2024 2:30,780,987,985,561,156,85,2.931562826,1.187857965
03/01/2024 3:00,586,65,313,378,128,134,6.534294247,1.641973513
03/01/2024 3:30,178,28,89,540,35,47,9.743257561,0.250330829
03/01/2024 4:00,535,705,622,659,18,106,10.46458403,0.326730135
03/01/2024 4:30,851,628,842,991,12,24,5.504993414,1.763877874
03/01/2024 5:00,270,532,1002,650,165,54,3.220816314,1.51341503
03/01/2024 5:30,644,707,474,712,79,144,10.22111239,1.056795372
03/01/2024 6:00,355,83,678,887,90,87,2.842052265,0.88766625
03/01/2024 6:30,305,887,646,932,84,41,5.935322504,1.076958593
03/01/2024 7:00,821,279,881,40,169,130,3.685450777,1.02231497
03/01/2024 7:30,133,126,465,331,85,78,11.946182,0.996635565
03/01/2024 8:00,783,699,996,48,33,5,6.355976573,1.930061
03/01/2024 8:30,786,179,284,350,102,15,11.42405205,1.705650664
03/01/2024 9:00,899,135,539,571,1,167,9.22563639,0.669395413
03/01/2024 9:30,122,625,263,94,43,51,0.139298589,1.322084763
03/01/2024 10:00,597,329,438,345,153,105,2.970805325,1.961435404
03/01/2024 10:30,797,722,293,14,3,26,0.535583197,0.049080228
03/01/2024 11:00,544,489,935,956,90,98,0.514010439,1.730667978
03/01/2024 11:30,562,363,946,118,13,107,11.08472193,0.330881014
03/01/2024 12:00,256,979,109,168,58,125,8.408276238,1.531671819
03/01/2024 12:30,694,854,986,738,144,156,4.463366967,0.725260726
03/01/2024 13:00,330,659,987,763,102,132,10.41737721,0.397600091
03/01/2024 13:30,674,1015,975,408,65,20,10.34847872,1.770504441
03/01/2024 14:00,792,413,485,624,111,68,8.754238152,0.791136154
03/01/2024 14:30,282,360,993,124,130,52,10.34219355,0.192388141
03/01/2024 15:00,664,834,592,414,177,95,9.721280157,0.82086894
03/01/2024 15:30,959,738,365,892,62,14,4.151936049,0.450833663
03/01/2024 16:00,507,462,952,854,1,176,8.754455977,1.237141387
03/01/2024 16:30,788,534,148,186,18,39,8.313950485,0.277702556
03/01/2024 17:00,216,28,787,943,138,25,11.95127127,1.895964155
03/01/2024 17:30,170,416,116,1010,96,16,4.727555222,0.488570611
03/01/2024 18:00,405,775,223,662,100,18,4.929499795,1.22358553
03/01/2024 18:30,935,0,217,548,123,15,4.859782934,1.339707793
03/01/2024 19:00,670,1007,594,808,26,0,10.24841584,1.470514466
03/01/2024 19:30,763,899,961,303,21,81,5.571693789,0.29178804
03/01/2024 20:00,547,253,804,506,98,139,7.876915002,1.879138847
03/01/2024 20:30,229,68,785,299,105,170,7.641471249,0.993856906
03/01/2024 21:00,136,426,173,909,20,44,2.828296787,1.96892397
03/01/2024 21:30,476,513,467,673,75,45,10.68748229,0.87326435
03/01/2024 22:00,1022,682,149,390,94,44,6.198019535,1.213725248
03/01/2024 22:30,996,615,774,68,64,167,11.49381712,1.392163783
03/01/2024 23:00,151,556,181,197,81,104,2.996131711,1.315244557
03/01/2024 23:30,1016,109,268,950,171,23,10.0728043,0.27682095
04/01/2024 0:00,558,261,530,287,22,131,9.300503174,0.089307405
04/01/2024 0:30,357,153,476,139,104,111,1.405347006,1.01437493
04/01/2024 1:00,296,989,195,672,177,169,9.901989195,1.513670705
04/01/2024 1:30,157,1022,971,501,88,155,8.937445522,1.921148365
04/01/2024 2:00,895,320,104,614,177,167,2.979108151,0.578680045
04/01/2024 2:30,823,385,812,36,171,55,0.365183252,1.910647652
04/01/2024 3:00,637,337,555,713,29,111,2.696509287,0.66327402
04/01/2024 3:30,228,448,381,226,158,114,5.893760993,1.144844514
04/01/2024 4:00,68,716,409,474,172,120,9.356836633,1.681807826
04/01/2024 4:30,236,19,212,986,71,102,6.2989616,1.830735218
04/01/2024 5:00,585,180,385,733,18,110,3.004265062,0.779726446
04/01/2024 5:30,722,817,636,239,106,131,0.184476973,0.620297111
04/01/2024 6:00,596,779,307,601,31,130,2.090423731,0.387064451
04/01/2024 6:30,226,613,719,390,140,24,0.035388974,1.283471636
04/01/2024 7:00,521,878,374,552,30,28,8.149425191,0.500805161
04/01/2024 7:30,416,582,973,908,139,63,11.15447445,0.910103676
04/01/2024 8:00,800,676,287,520,100,106,11.79382584,0.948365274
04/01/2024 8:30,342,834,714,804,100,96,9.823393513,0.82510858
04/01/2024 9:00,852,954,506,333,94,117,9.005766734,0.220445368
04/01/2024 9:30,745,584,813,964,145,145,7.190497716,1.702119907
04/01/2024 10:00,688,265,849,526,155,0,5.195398906,0.525808543
04/01/2024 10:30,898,564,477,279,64,57,7.684489453,1.655693946
04/01/2024 11:00,249,216,656,417,85,61,10.84263373,1.81067457
04/01/2024 11:30,37,718,901,112,75,12,11.3508928,1.571228059
04/01/2024 12:00,568,656,562,518,74,6,0.490552086,1.212024502
04/01/2024 12:30,190,981,329,822,159,75,9.043342559,1.71363409
04/01/2024 13:00,344,413,495,823,42,46,3.560919482,0.981965948
04/01/2024 13:30,328,454,428,74,171,24,9.4161863,0.143822347
04/01/2024 14:00,947,376,194,324,124,88,3.692495859,1.07494495
04/01/2024 14:30,821,870,835,111,3,11,7.604722674,1.157784266
04/01/2024 15:00,205,654,224,524,115,131,9.836940659,0.145489553
04/01/2024 15:30,857,95,420,631,177,59,0.560007087,0.558250208
04/01/2024 16:00,72,957,275,948,102,48,11.85227578,1.563842628
04/01/2024 16:30,254,311,828,17,102,148,8.838535393,1.471855869
04/01/2024 17:00,863,67,686,281,136,43,5.328723472,0.344911943
04/01/2024 17:30,51,913,477,980,81,78,2.093579897,0.187223291
04/01/2024 18:00,610,77,915,355,43,118,10.49944088,0.907316327
04/01/2024 18:30,784,901,185,66,150,127,10.21128408,1.870997927
04/01/2024 19:00,163,279,104,805,166,168,4.887598571,1.778149163
04/01/2024 19:30,252,9,490,593,146,83,10.42693817,1.827086515
04/01/2024 20:00,753,730,668,783,171,93,9.462977924,1.906050752
04/01/2024 20:30,480,299,860,431,53,116,9.508691456,1.953870346
04/01/2024 21:00,109,448,469,864,74,68,8.493050062,1.098326789
04/01/2024 21:30,840,182,193,44,48,6,1.19780055,0.671761215
04/01/2024 22:00,226,603,861,712,47,110,2.628605054,0.443316372
04/01/2024 22:30,602,642,647,731,33,121,8.384864329,1.166345695
04/01/2024 23:00,72,610,333,466,180,53,10.71153126,0.123453208
04/01/2024 23:30,540,995,462,419,105,84,7.787038407,0.298442309
05/01/2024 0:00,432,691,940,799,155,107,9.764012638,1.212284413
05/01/2024 0:30,290,487,419,485,53,15,3.827615785,1.316095548
05/01/2024 1:00,14,987,126,195,56,104,3.670873112,1.723680126
05/01/2024 1:30,801,110,342,330,57,125,5.543141452,1.676595026
05/01/2024 2:00,231,326,321,1003,45,11,10.33319287,1.197984494
05/01/2024 2:30,746,40,748,699,78,50,3.088043187,0.093759698
05/01/2024 3:00,339,26,719,45,148,168,4.917995079,0.530930594
05/01/2024 3:30,21,907,239,486,89,142,5.813380277,0.984296113
05/01/2024 4:00,899,281,288,664,49,20,0.304192586,1.077019586
05/01/2024 4:30,330,13,504,474,96,132,2.387083407,0.145392323
05/01/2024 5:00,901,917,755,963,131,145,0.330429411,0.842726372
05/01/2024 5:30,422,549,753,100,92,167,3.76358123,0.389181329
05/01/2024 6:00,62,975,548,775,144,46,2.92966418,1.201664416
05/01/2024 6:30,306,117,93,509,44,165,5.995586214,0.720121548
05/01/2024 7:00,190,818,99,556,65,12,1.630888482,0.782100786
05/01/2024 7:30,435,172,545,870,85,24,6.764513098,0.811808269
05/01/2024 8:00,202,83,396,385,129,69,9.038527001,1.606976349
05/01/2024 8:30,744,944,593,519,73,51,6.951410139,1.983721486
05/01/2024 9:00,449,104,463,47,175,149,2.968845951,1.110509806
05/01/2024 9:30,882,695,966,277,85,15,0.32375274,0.546689578
05/01/2024 10:00,74,943,981,449,158,103,8.854125167,1.007406667
05/01/2024 10:30,44,580,958,566,105,84,7.376315165,1.356073107
05/01/2024 11:00,583,982,12,372,21,53,6.32410014,1.245125395
05/01/2024 11:30,742,516,582,231,177,54,10.61372833,1.427869407
05/01/2024 12:00,95,791,757,779,110,178,3.470287096,1.836396224
05/01/2024 12:30,874,138,282,726,105,158,2.440954071,0.869040964
05/01/2024 13:00,531,101,97,469,158,41,10.00172422,0.912151653
05/01/2024 13:30,474,382,14,822,24,106,8.629280624,1.827562729
05/01/2024 14:00,374,647,29,283,28,90,2.398128251,0.432375041
05/01/2024 14:30,301,120,280,855,56,103,1.164932543,0.955822914
05/01/2024 15:00,791,277,975,692,15,148,4.108463349,0.400980176
05/01/2024 15:30,919,83,228,909,55,31,10.02159957,0.462484885
05/01/2024 16:00,855,703,956,784,22,56,2.599730525,1.117284703
05/01/2024 16:30,383,434,578,500,40,12,5.050268524,0.811837102
05/01/2024 17:00,678,34,927,680,162,164,9.178304337,0.599646779
05/01/2024 17:30,418,404,462,97,23,34,10.22131666,0.209199627
05/01/2024 18:00,225,998,1014,775,111,31,5.894779373,1.241384998
05/01/2024 18:30,989,376,245,811,116,143,3.253675616,0.577079656
05/01/2024 19:00,588,559,832,721,130,73,4.96306804,0.277647956
05/01/2024 19:30,763,491,975,190,90,59,4.912619798,1.528671072
05/01/2024 20:00,168,823,553,123,65,84,9.040239233,1.137264051
05/01/2024 20:30,82,196,273,568,108,21,1.834407724,0.900631033
05/01/2024 21:00,84,835,142,768,93,68,6.728504554,0.569828405
05/01/2024 21:30,398,687,426,657,18,152,3.777862663,0.887868597
05/01/2024 22:00,916,354,824,736,158,31,6.650271971,0.52229212
05/01/2024 22:30,769,179,493,962,69,53,11.41916054,0.94025348
05/01/2024 23:00,72,280,983,172,100,142,1.080825686,0.852228969
05/01/2024 23:30,946,972,936,433,139,143,8.085120346,1.355859363
06/01/2024 0:00,658,186,1023,494,7,5,10.56027734,1.543670811
06/01/2024 0:30,1013,975,161,1014,158,39,5.055750252,0.986613715
06/01/2024 1:00,78,123,554,435,91,74,4.531023818,1.444160014
06/01/2024 1:30,341,560,214,904,67,152,5.80811895,0.539653067
06/01/2024 2:00,183,865,896,658,113,50,7.17140242,0.988271983
06/01/2024 2:30,252,59,998,150,114,148,4.794271076,0.483531649
06/01/2024 3:00,690,923,898,955,15,30,11.58152893,0.903717842
06/01/2024 3:30,564,868,552,943,112,56,5.716470171,1.718503619
06/01/2024 4:00,617,275,292,346,178,49,4.315908756,0.102789423
06/01/2024 4:30,750,90,362,139,171,80,11.65934461,1.520564411
06/01/2024 5:00,691,603,52,433,142,140,1.250924507,0.059737248
06/01/2024 5:30,149,179,567,661,95,71,3.361158384,1.07579602
06/01/2024 6:00,741,40,117,873,138,39,11.6412944,0.772404218
06/01/2024 6:30,419,901,462,442,177,172,2.371151903,0.083561511
06/01/2024 7:00,1000,232,851,3,130,67,5.63887197,1.391714397
06/01/2024 7:30,560,858,170,700,70,122,10.44984292,0.962145481
06/01/2024 8:00,297,727,487,791,173,61,10.58901566,0.825218463
06/01/2024 8:30,146,291,691,665,67,156,1.662103382,1.647765999
06/01/2024 9:00,420,611,881,95,132,98,9.037009039,1.12087789
06/01/2024 9:30,441,716,795,196,151,164,10.30704071,0.408361786
06/01/2024 10:00,1020,411,936,154,6,161,10.8104572,1.617615399
06/01/2024 10:30,141,197,271,832,49,79,2.074261526,0.408114722
06/01/2024 11:00,472,668,65,286,51,123,11.16888429,0.139716135
06/01/2024 11:30,34,847,422,904,167,57,6.135013468,0.711731874
06/01/2024 12:00,375,395,227,729,146,53,3.245719806,0.496027374
06/01/2024 12:30,38,279,718,662,144,145,2.659135369,1.34238563
06/01/2024 13:00,816,1014,399,249,171,37,4.957934365,1.463676454
06/01/2024 13:30,210,945,639,753,38,162,11.14225231,1.234599185
06/01/2024 14:00,524,652,517,83,71,123,0.438644093,1.477958533
06/01/2024 14:30,288,961,1003,983,68,54,4.903808457,0.952731427
06/01/2024 15:00,941,901,204,360,161,78,6.557523612,1.005076181
06/01/2024 15:30,314,540,502,549,120,113,3.976963008,1.872800108
06/01/2024 16:00,242,705,10,557,128,82,10.17225124,0.834103905
06/01/2024 16:30,807,531,841,1012,107,90,3.945015849,0.276437732
06/01/2024 17:00,178,998,228,153,17,7,3.564631322,1.486510804
06/01/2024 17:30,837,80,418,951,5,19,9.08304354,0.863244359
06/01/2024 18:00,43,680,664,476,114,72,7.739912824,1.980896144
06/01/2024 18:30,792,159,482,135,92,160,3.516317151,1.802758852
06/01/2024 19:00,770,553,569,257,142,148,10.30358432,0.74244065
06/01/2024 19:30,1001,298,799,85,178,176,2.379448918,1.304220574
06/01/2024 20:00,411,750,781,919,173,1,5.513165622,1.437742482
06/01/2024 20:30,537,287,152,776,23,5,8.649130105,0.281410097
06/01/2024 21:00,340,756,359,176,105,130,8.253406356,0.714195725
06/01/2024 21:30,414,408,307,478,68,65,10.70109728,1.132773584
06/01/2024 22:00,787,133,677,114,64,17,4.87326501,0.572381152
06/01/2024 22:30,218,560,710,149,73,157,10.78560456,0.248238606
06/01/2024 23:00,428,945,393,281,167,125,1.86104992,0.229707794
06/01/2024 23:30,377,126,568,1008,161,45,7.20107246,1.875282129
07/01/2024 0:00,339,759,261,199,180,41,7.171880074,0.695253104
07/01/2024 0:30,361,966,403,127,22,152,8.29361572,1.833384249
07/01/2024 1:00,135,78,999,506,150,63,7.316648481,1.007379693
07/01/2024 1:30,99,237,405,179,49,169,3.757737973,0.133118229
07/01/2024 2:00,140,755,27,62,105,142,3.674764547,0.255128688
07/01/2024 2:30,511,516,385,922,168,125,1.918860947,1.835171533
07/01/2024 3:00,420,425,399,121,104,87,9.668378447,0.912392802
07/01/2024 3:30,469,1001,385,43,62,34,0.466116717,1.569520989
07/01/2024 4:00,923,225,681,793,75,163,6.156931672,1.784962423
07/01/2024 4:30,1001,766,556,889,136,76,3.29440766,1.347378088
07/01/2024 5:00,321,53,681,498,172,15,3.736252366,1.225127738
07/01/2024 5:30,150,362,347,520,177,12,0.332264498,1.543207038
07/01/2024 6:00,486,716,921,866,116,49,8.291858341,1.371514256
07/01/2024 6:30,908,383,696,520,112,162,6.380076244,1.874977543
07/01/2024 7:00,673,689,118,771,94,81,11.20892854,1.172866678
07/01/2024 7:30,631,980,946,213,171,180,4.579443712,0.02160613
07/01/2024 8:00,123,752,994,614,138,109,9.843639402,1.614255904
07/01/2024 8:30,840,679,579,543,26,171,4.748511144,0.715586144
07/01/2024 9:00,167,879,885,280,90,83,2.629226319,0.202012352
07/01/2024 9:30,136,520,324,672,32,76,1.071947255,0.347947455
07/01/2024 10:00,241,270,103,454,173,164,10.14889982,1.88521488
07/01/2024 10:30,836,79,836,541,101,159,2.616769887,0.17505547
07/01/2024 11:00,83,496,448,906,114,59,2.717085266,1.75002832
07/01/2024 11:30,969,145,294,224,109,106,7.875812578,1.949715636
07/01/2024 12:00,883,835,338,518,109,154,4.683507817,0.251098995
07/01/2024 12:30,274,14,307,948,168,109,10.07068129,0.606817697
07/01/2024 13:00,805,436,177,567,54,149,4.042413352,0.705153463
07/01/2024 13:30,756,520,324,853,114,60,8.750268646,0.894023318
07/01/2024 14:00,625,213,688,342,40,66,1.972008839,0.826836902
07/01/2024 14:30,952,110,611,990,149,82,4.858256887,0.426056047
07/01/2024 15:00,96,416,692,679,53,96,2.081332944,1.285879665
07/01/2024 15:30,654,847,874,268,138,152,5.582687559,0.975770045
07/01/2024 16:00,321,113,613,207,80,82,10.48305304,0.83946775
07/01/2024 16:30,259,500,169,908,128,114,9.994757007,1.304558957
07/01/2024 17:00,895,921,781,364,167,50,6.183332239,0.980804689
07/01/2024 17:30,249,242,631,621,45,37,2.648895169,0.134756331
07/01/2024 18:00,1003,948,303,303,121,177,10.00851242,0.149724252
07/01/2024 18:30,587,755,457,661,56,19,8.371008567,0.596326423
07/01/2024 19:00,882,38,511,648,59,75,6.454257313,0.50166965
07/01/2024 19:30,450,92,988,388,39,20,3.633024504,1.254262961
07/01/2024 20:00,1003,18,100,963,120,35,5.89967149,0.403915655
07/01/2024 20:30,689,393,815,338,35,30,7.600114054,1.410450978
07/01/2024 21:00,593,366,747,953,144,135,5.496849388,0.753035802
07/01/2024 21:30,274,273,313,676,96,119,11.08984835,0.917683692
07/01/2024 22:00,161,930,88,280,91,1,1.970324084,0.774336762
07/01/2024 22:30,761,352,136,960,108,138,7.962679901,1.078151917
07/01/2024 23:00,690,417,99,147,119,4,0.746242757,0.09680113
07/01/2024 23:30,181,271,20,614,78,63,0.800024581,0.025475544
08/01/2024 0:00,979,814,805,586,1,62,11.12903932,1.424331779
08/01/2024 0:30,117,769,245,861,10,178,5.655607155,0.289485727
08/01/2024 1:00,827,555,823,619,36,97,7.567070708,1.562960961
08/01/2024 1:30,886,191,215,501,168,172,11.84793972,0.242028237
08/01/2024 2:00,864,1001,213,274,120,12,9.362305201,0.292554716
08/01/2024 2:30,976,736,772,916,107,120,7.63509114,0.364886084
08/01/2024 3:00,1021,655,1013,523,77,85,11.62614013,1.420670582
08/01/2024 3:30,1000,415,556,424,110,96,0.160091061,1.095743808
08/01/2024 4:00,840,602,7,434,96,11,6.048008758,1.577355497
08/01/2024 4:30,938,156,797,491,27,63,2.104224026,0.063339584
08/01/2024 5:00,369,529,885,583,124,146,3.372840238,0.669054992
08/01/2024 5:30,88,223,287,222,6,124,11.89858844,1.552034518
08/01/2024 6:00,641,886,349,231,87,111,8.568177415,0.743729773
08/01/2024 6:30,12,291,943,1001,72,27,5.664117778,0.066720989
08/01/2024 7:00,111,841,195,301,36,101,5.227526965,0.703639974
08/01/2024 7:30,967,494,308,304,170,120,0.276551501,0.889118144
08/01/2024 8:00,75,988,489,631,173,93,0.084553945,1.676585813
08/01/2024 8:30,30,971,565,379,115,157,5.050317898,1.510981795
08/01/2024 9:00,683,707,58,791,117,28,4.337828076,1.772950332
08/01/2024 9:30,313,272,368,318,50,168,1.430378488,0.391059538
08/01/2024 10:00,978,40,663,110,1,120,7.082755597,0.1476425
08/01/2024 10:30,542,657,311,320,135,89,6.533999991,0.174202681
08/01/2024 11:00,17,472,633,775,44,152,11.89600181,1.29952608
08/01/2024 11:30,940,331,99,527,25,120,4.717580621,1.872150493
08/01/2024 12:00,1004,856,26,399,69,62,4.192758808,0.075117916
08/01/2024 12:30,468,279,448,512,116,138,0.268642747,1.918025863
08/01/2024 13:00,448,371,439,557,70,174,10.59948842,0.962416747
08/01/2024 13:30,990,842,491,1009,145,174,7.950085977,1.624488748
08/01/2024 14:00,14,702,265,42,133,77,6.1438156,1.561654682
08/01/2024 14:30,332,407,132,786,63,160,0.400654299,1.741001852
08/01/2024 15:00,204,774,421,178,42,46,3.381139227,1.994638704
08/01/2024 15:30,892,642,340,244,63,173,10.29923116,1.400029403
08/01/2024 16:00,407,591,742,484,117,85,8.474836681,1.511859207
08/01/2024 16:30,650,572,962,939,101,94,8.490780969,0.6320258
08/01/2024 17:00,299,389,110,123,113,23,10.71820157,0.604462391
08/01/2024 17:30,263,591,16,54,142,78,10.87541186,1.369391502
08/01/2024 18:00,1022,603,845,588,87,138,5.313811057,0.068475012
08/01/2024 18:30,463,796,324,137,97,150,3.385533929,1.859194252
08/01/2024 19:00,198,254,771,612,140,31,1.504665325,0.707660678
08/01/2024 19:30,939,986,29,995,118,99,11.68352214,1.760037779
08/01/2024 20:00,470,634,787,84,36,34,8.30421387,0.309373694
08/01/2024 20:30,802,988,304,698,99,27,5.437542912,1.30416827
08/01/2024 21:00,698,357,699,504,66,142,0.658061327,1.442534445
08/01/2024 21:30,670,191,350,738,66,162,8.475875937,0.665191669
08/01/2024 22:00,100,383,91,196,158,10,1.689230398,1.501070418
08/01/2024 22:30,986,462,326,404,85,117,4.538774296,0.363715493
08/01/2024 23:00,209,261,367,665,25,111,11.93773581,1.183777004
08/01/2024 23:30,465,282,276,813,38,37,7.562477529,1.82539693
09/01/2024 0:00,375,900,44,461,117,142,8.802739891,1.899440373
09/01/2024 0:30,2,57,818,814,27,35,11.72996372,1.90661939
09/01/2024 1:00,780,1014,790,714,93,97,6.797990741,0.082768219
09/01/2024 1:30,351,876,246,711,139,135,2.996355733,1.577824762
09/01/2024 2:00,710,693,101,482,151,89,9.081357314,1.56867477
09/01/2024 2:30,473,724,144,980,16,47,8.232717323,1.514484554
09/01/2024 3:00,341,471,48,865,57,130,5.296961468,1.446039659
09/01/2024 3:30,845,113,282,341,156,41,1.082318618,0.50166605
09/01/2024 4:00,228,179,570,709,13,91,10.77805998,0.020266879
09/01/2024 4:30,700,262,353,675,65,123,4.716574937,1.157926282
09/01/2024 5:00,368,274,106,448,176,91,7.966499458,1.36087374
09/01/2024 5:30,1017,688,1020,56,112,138,6.163730387,1.143194598
09/01/2024 6:00,965,555,75,810,40,173,10.71476254,1.962046812
09/01/2024 6:30,950,3,857,928,174,108,0.747859482,1.380119685
09/01/2024 7:00,711,995,909,80,48,79,1.538096226,1.876268277
09/01/2024 7:30,183,805,678,46,127,161,7.036388615,0.211534237
09/01/2024 8:00,24,450,293,207,94,123,10.32070649,1.729858908
09/01/2024 8:30,557,83,666,528,134,29,4.655831729,0.022368953
09/01/2024 9:00,815,373,856,115,93,68,1.743686429,0.830607392
09/01/2024 9:30,392,119,968,320,128,93,5.819476514,1.389743569
09/01/2024 10:00,682,927,342,130,10,19,2.323182091,1.059774477
09/01/2024 10:30,781,825,962,64,56,57,11.70433388,0.013217666
09/01/2024 11:00,337,320,714,895,15,115,2.913542012,1.502170025
09/01/2024 11:30,127,116,748,172,144,1,9.605246771,1.122500132
09/01/2024 12:00,170,884,909,105,101,151,10.26757193,0.955838192
09/01/2024 12:30,323,240,503,112,124,123,3.060755537,1.196050177
09/01/2024 13:00,796,398,896,181,139,70,10.92182255,0.099648363
